name,category,type,group,retweet
1pissedoffmom1,Anti-vaxxer,individual,Leader,23
Alec_Zeck,Anti-vaxxer,individual,Leader,31
AliBeckZeck,Anti-vaxxer,individual,Leader,24
and_kell,Anti-vaxxer,individual,Leader,44
avoiceforchoice,Anti-vaxxer,organization,Leader,41
BardsFM,Anti-vaxxer,organization,Active,5
Believe_Mothers,Anti-vaxxer,organization,Leader,9
BusyDrT,Anti-vaxxer,individual,Leader,61
CaliVaxChoice,Anti-vaxxer,organization,Leader,27
CasparKashkin,Anti-vaxxer,individual,Leader,28
ceestave,Anti-vaxxer,individual,Leader,7
Chena_Punim,Anti-vaxxer,individual,Leader,21
ChildrensHD,Anti-vaxxer,organization,Leader,66
childrensmarch4,Anti-vaxxer,individual,Passive,0
chris_moyler,Anti-vaxxer,individual,Passive,1
circleofmamas,Anti-vaxxer,organization,Leader,11
Crazymothers1,Anti-vaxxer,organization,Active,7
dad_liams,Anti-vaxxer,individual,Leader,19
davebrooker322,Anti-vaxxer,individual,Leader,7
debnantz,Anti-vaxxer,individual,Leader,35
delbigtree,Anti-vaxxer,individual,Active,60
DemocratFed,Anti-vaxxer,individual,Leader,49
DrKND,Anti-vaxxer,individual,Leader,47
DrTessaT,Anti-vaxxer,individual,Leader,40
EpigeneticWhisp,Anti-vaxxer,organization,Leader,44
EVaccines,Anti-vaxxer,organization,Passive,0
exvaxxxer,Anti-vaxxer,individual,Leader,8
flick4freedom,Anti-vaxxer,individual,Leader,7
GAVaccineChoice,Anti-vaxxer,organization,Leader,11
HealthyNews2day,Anti-vaxxer,organization,Active,7
HFIdaho,Anti-vaxxer,organization,Passive,1
HighWireTalk,Anti-vaxxer,organization,Leader,71
Hollysstory1,Anti-vaxxer,individual,Passive,2
HPVSideEffects,Anti-vaxxer,organization,Leader,6
ICANdecide,Anti-vaxxer,organization,Active,36
InsideVaccines,Anti-vaxxer,organization,Leader,33
JeffereyJaxen,Anti-vaxxer,individual,Leader,52
Juanita87722370,Anti-vaxxer,individual,Leader,5
Just4TheCause,Anti-vaxxer,individual,Leader,24
justiceforevee,Anti-vaxxer,individual,Leader,48
kuriousmind93,Anti-vaxxer,individual,Leader,13
LeahDurantLaw,Anti-vaxxer,individual,Passive,0
learntherisk,Anti-vaxxer,organization,Active,11
Lex55747486,Anti-vaxxer,individual,Leader,4
LotusOak2,Anti-vaxxer,organization,Active,65
MaineVaxChoice,Anti-vaxxer,organization,Active,3
MarkVaccines,Anti-vaxxer,individual,Leader,4
MaryamHenein,Anti-vaxxer,individual,Leader,37
MaryJo__Perry,Anti-vaxxer,individual,Leader,5
Marzo_luna_,Anti-vaxxer,individual,Passive,1
med1cinewoman,Anti-vaxxer,individual,Leader,34
melishadooley,Anti-vaxxer,individual,Passive,1
MelissaRaeToro1,Anti-vaxxer,individual,Passive,2
MI4VaxChoice,Anti-vaxxer,organization,Passive,2
nocompulsoryvac,Anti-vaxxer,organization,Leader,30
Novaccineforce,Anti-vaxxer,organization,Leader,15
Nurse4freedom,Anti-vaxxer,individual,Leader,5
Pamira_Bezmen,Anti-vaxxer,individual,Leader,9
picphysicians,Anti-vaxxer,organization,Active,27
PlumRemson,Anti-vaxxer,individual,Leader,30
RebeccaChandle1,Anti-vaxxer,individual,Leader,12
Rebekah60291919,Anti-vaxxer,individual,Passive,2
REGRET_ie,Anti-vaxxer,organization,Leader,5
RitaBrosnan,Anti-vaxxer,individual,Passive,1
RJM20,Anti-vaxxer,individual,Leader,10
RobertKennedyJr,Anti-vaxxer,individual,Leader,60
rsbellmedia,Anti-vaxxer,individual,Leader,29
SadakaAssoc,Anti-vaxxer,organization,Passive,1
sallyKP,Anti-vaxxer,individual,Leader,61
science_cited,Anti-vaxxer,individual,Active,40
SNCCLA,Anti-vaxxer,individual,Leader,25
stevescrutton,Anti-vaxxer,individual,Leader,3
stopvaccinating,Anti-vaxxer,individual,Leader,45
tabbyday,Anti-vaxxer,individual,Leader,16
TeddyFreddy11,Anti-vaxxer,individual,Leader,7
TexasMFA,Anti-vaxxer,organization,Passive,0
TN4VaxChoice,Anti-vaxxer,organization,Passive,0
truthlovingdr,Anti-vaxxer,individual,Leader,29
truthvaxwarrior,Anti-vaxxer,individual,Leader,5
TTAVOfficial,Anti-vaxxer,organization,Leader,13
UnitedForChoice,Anti-vaxxer,organization,Active,4
US4MF,Anti-vaxxer,organization,Leader,7
uTobian,Anti-vaxxer,individual,Leader,62
vaccinationmyth,Anti-vaxxer,organization,Passive,1
VaccineInjury,Anti-vaxxer,organization,Passive,1
vaccinepapers,Anti-vaxxer,organization,Passive,2
VaccineReaction,Anti-vaxxer,organization,Passive,1
vaxreactions,Anti-vaxxer,individual,Active,19
vaxstudy,Anti-vaxxer,organization,Leader,3
vaxxedthemovie,Anti-vaxxer,individual,Leader,6
VialNews,Anti-vaxxer,organization,Leader,15
WakeTheFlockUp6,Anti-vaxxer,individual,Leader,20
waynerohde,Anti-vaxxer,individual,Leader,24
weaponizedword1,Anti-vaxxer,individual,Active,27
wontfoolmetwice,Anti-vaxxer,individual,Passive,2
yattypat,Anti-vaxxer,individual,Leader,16
yesmaam74,Anti-vaxxer,organization,Leader,5
NVICLoeDown,Anti-vaxxer,organization,Active,58
VaccineResist,Anti-vaxxer,organization,Passive,2
VACTRUTH,Anti-vaxxer,organization,Active,4